title,url,category,description,datetime,title_len
Долар і євро подорожчали: курс валют на 11 травня і чому паніки на ринку немає,https://www.rbc.ua/rus/news/dolar-i-evro-podorozhchali-kurs-valyut-11-1778248043.html,,,16:48,78
Вагони виготовляли з порушеннями: стало відомо про схему використання неякісного заліза,https://www.rbc.ua/rus/news/vagoni-vigotovlyali-porushennyami-stalo-vidomo-1778247936.html,,,16:45,87
"Угорщина вислала ""крота"" РФ з оточення Орбана, - ЗМІ",https://www.rbc.ua/rus/news/ugorshchina-vislala-krota-rf-otochennya-orbana-1778246561.html,,,16:32,52
"Шантаж держави підприємствами ТКЕ з багатомільйонними боргами за газ неприпустимий, - експерт",https://www.rbc.ua/rus/news/bagatomilyonni-borgi-tke-gaz-mozhut-buti-1778243496.html,,,16:31,93
В Україні зафіксували перший травневий землетрус: де був епіцентр (карта),https://www.rbc.ua/rus/news/ukrayini-zafiksuvali-pershiy-travneviy-zemletrus-1778246832.html,,,16:30,73
"""Мадяр"" вважає бліцкриг РФ на Київ неможливим: навіть із мільйоном танків",https://www.rbc.ua/rus/news/madyar-vvazhae-blitskrig-rf-kiyiv-nemozhlivim-1778245976.html,,,16:12,73
"Екоподаток без екології? Аналіз ЗМІ показав, куди спрямовують мільярди гривень",https://www.rbc.ua/rus/news/ekopodatok-ekologiyi-analiz-zmi-pokazav-kudi-1778245771.html,,,16:09,78
"США ""не хочуть витрачати час"" на безрезультатні зусилля щодо миру в Україні, - Рубіо",https://www.rbc.ua/rus/news/rubio-zrobiv-zayavu-shchodo-poserednitstva-1778244610.html,,,15:58,84
Зарплати українців зростуть: Нацбанк дав обнадійливий прогноз на 2026 рік,https://www.rbc.ua/rus/news/zarplati-ukrayintsiv-zrostut-natsbank-dav-1778244046.html,,,15:50,73
"У Зеленського розповіли, який сигнал Фіцо повіз Путіну",https://www.rbc.ua/rus/news/zelenskogo-rozpovili-kiy-signal-fitso-poviz-1778244206.html,,,15:49,54
"Закликав підтримувати Україну ""не лише словами"": Володимир Кличко виступив на заході в Гамбурзі",https://www.rbc.ua/rus/news/zaklikav-pidtrimuvati-ukrayinu-ne-lishe-slovami-1778244020.html,,,15:40,95
